,School_closing,Workplace_closing,Cancel_events,Gatherings_restrictions,Transport_closing,Stay_home_restrictions,Internal_movement_restrictions,International_movement_restrictions,Date
324,75603,75603,75603,75603,75603,75603,75603,75603,2021-01-01
325,76463,76463,76463,76463,76463,76463,76463,76463,2021-01-02
326,79601,79601,79601,79601,79601,79601,79601,79601,2021-01-03
327,80148,80148,80148,80148,80148,80148,80148,80148,2021-01-04
328,80697,80697,80697,80697,80697,80697,80697,80697,2021-01-05
329,81248,81248,81248,81248,81248,81248,81248,81248,2021-01-06
330,81800,81800,81800,81800,81800,81800,81800,81800,2021-01-07
331,82354,82354,82354,82354,82354,82354,82354,82354,2021-01-08
332,82910,82910,82910,82910,82910,82910,82910,82910,2021-01-09
333,82597,82597,82597,82597,82597,82597,82597,82597,2021-01-10
334,81230,81230,81230,81230,81230,81230,81230,81230,2021-01-11
335,79884,79884,79884,79884,79884,79884,79884,79884,2021-01-12
336,78558,78558,78558,78558,78558,78558,78558,78558,2021-01-13
337,77254,77254,77254,77254,77254,77254,77254,77254,2021-01-14
338,75970,75970,75970,75970,75970,75970,75970,75970,2021-01-15
339,74706,74706,74706,74706,74706,74706,74706,74706,2021-01-16
340,73461,73461,73461,73461,73461,73461,73461,73461,2021-01-17
341,72237,72237,72237,72237,72237,72237,72237,72237,2021-01-18
342,71031,71031,71031,71031,71031,71031,71031,71031,2021-01-19
343,69845,69845,69845,69845,69845,69845,69845,69845,2021-01-20
344,71908,73312,71681,71386,70407,70459,71468,71522,2021-01-21
345,74031,76950,73564,72959,70972,71077,73128,73239,2021-01-22
346,76216,80768,75496,74567,71541,71699,74826,74996,2021-01-23
347,78465,84774,77478,76210,72114,72326,76562,76795,2021-01-24
348,80780,88978,79511,77888,72690,72957,78339,78636,2021-01-25
349,83163,93390,81596,79602,73270,73593,80155,80520,2021-01-26
350,85615,98018,83735,81353,73853,74233,82013,82448,2021-01-27
351,88139,102875,85929,83142,74440,74878,83912,84422,2021-01-28
352,90737,107971,88180,84969,75030,75527,85855,86442,2021-01-29
353,93410,113317,90489,86835,75624,76181,87842,88509,2021-01-30
354,96162,118928,92856,88741,76221,76839,89874,90625,2021-01-31
355,98993,124814,95285,90688,76822,77502,91951,92790,2021-02-01
356,101908,130989,97775,92677,77427,78169,94076,95005,2021-02-02
357,104907,137466,100330,94708,78035,78841,96248,97272,2021-02-03
358,107993,144258,102949,96783,78647,79517,98470,99592,2021-02-04
359,111168,151382,105636,98901,79263,80198,100741,101966,2021-02-05
360,114436,158853,108391,101065,79882,80883,103063,104396,2021-02-06
361,117799,166688,111216,103275,80504,81573,105438,106881,2021-02-07
362,121258,174905,114113,105531,81131,82268,107865,109424,2021-02-08
